identifier,predicted to frameshift?,predicted probability,predicted %GFP
41948,yes,0.722678184509,2.60349655151
48124,yes,0.722678184509,2.60349655151
42121,yes,0.547065198421,2.57764029503
46470,no,0.196519523859,1.11567044258
38062,yes,0.684967756271,2.93614840508
41047,yes,0.547065198421,2.57764029503
41493,yes,0.509728729725,1.79667913914
41970,yes,0.722678184509,2.60349655151
38910,yes,0.509728729725,1.79667913914
38884,yes,0.509728729725,1.79667913914
47053,no,0.164063483477,1.56428647041
41916,yes,0.722678184509,2.60349655151
41973,yes,0.722678184509,2.60349655151
39371,yes,0.684967756271,2.93614840508
45567,no,0.322983205318,1.35672175884
39716,no,0.273877412081,1.51201415062
37559,yes,0.547065198421,2.57764029503
42886,yes,0.684967756271,2.93614840508
43575,yes,0.722678184509,2.58054113388
41487,yes,0.509728729725,1.79667913914
47976,yes,0.526947081089,2.17247676849
45697,yes,0.514029324055,1.97807514668
42107,yes,0.547065198421,2.57764029503
40760,yes,0.509728729725,1.79667913914
42140,yes,0.547065198421,2.57764029503
38924,yes,0.509728729725,1.79667913914
40749,yes,0.684967756271,2.93614840508
43263,yes,0.509728729725,1.79667913914
44707,yes,0.501420259476,1.7249764204
37550,yes,0.722678184509,2.60349655151
45966,yes,0.581567049026,1.86139559746
40608,yes,0.684967756271,2.52204871178
41174,yes,0.509728729725,1.79667913914
46505,no,0.246856421232,1.26991009712
42013,yes,0.722678184509,2.60349655151
39859,no,0.297481000423,1.39124453068
38171,yes,0.509728729725,1.79667913914
37557,yes,0.547065198421,2.57764029503
44760,yes,0.526917219162,1.79667913914
43316,yes,0.509728729725,1.79667913914
38005,yes,0.684967756271,2.93614840508
40485,yes,0.526947081089,2.17247676849
46423,no,0.205773323774,1.01220488548
37503,yes,0.722678184509,2.60349655151
39385,yes,0.684967756271,2.93614840508
45941,no,0.342874854803,1.65723490715
42078,yes,0.547065198421,2.57764029503
46445,no,0.257090687752,1.35187900066
39257,yes,0.547065198421,2.57764029503
38055,yes,0.684967756271,2.93614840508
46475,no,0.337495863438,1.27091360092
44569,yes,0.647307574749,2.67335224152
43260,yes,0.509728729725,1.79667913914
45970,no,0.447389125824,1.87408602238
47972,yes,0.547065198421,2.57764029503
44851,yes,0.687904298306,2.22805500031
37599,yes,0.547065198421,2.57764029503
42045,yes,0.547065198421,2.57764029503
43764,yes,0.635774314404,3.38675546646
38023,yes,0.684967756271,2.93614840508
38880,yes,0.509728729725,1.79667913914
42956,yes,0.684967756271,2.93614840508
37558,yes,0.547065198421,2.57764029503
39427,yes,0.509728729725,1.79667913914
37524,yes,0.722678184509,2.60349655151
39749,no,0.316763728857,1.58584940434
40887,yes,0.684967756271,2.93614840508
43291,yes,0.509728729725,1.79667913914
44112,yes,0.684116184711,2.27359056473
45939,no,0.3955321908,1.66644012928
44065,yes,0.571920931339,2.01504421234
44746,yes,0.569142341614,1.91538238525
41139,yes,0.684967756271,2.93614840508
39636,no,0.430243760347,1.60847759247
43000,yes,0.684967756271,2.93614840508
45274,yes,0.598238945007,1.79524183273
41445,yes,0.684967756271,2.93614840508
40466,yes,0.778528988361,2.07242870331
45949,yes,0.601090431213,2.13158369064
41341,yes,0.722678184509,2.60349655151
40467,yes,0.706001162529,2.89490270615
41443,yes,0.684967756271,2.93614840508
39752,no,0.420316308737,1.82053482533
42147,yes,0.547065198421,2.57764029503
45269,no,0.153761655092,1.23589992523
37505,yes,0.722678184509,2.60349655151
41929,yes,0.722678184509,2.60349655151
41048,yes,0.547065198421,2.57764029503
40108,no,0.319704711437,2.03113365173
38935,yes,0.509728729725,1.79667913914
44067,yes,0.640124857426,2.26404714584
44731,yes,0.509728729725,1.79667913914
41989,yes,0.722678184509,2.60349655151
41149,yes,0.684967756271,2.93614840508
45008,yes,0.708719134331,1.91041707993
39416,yes,0.509728729725,1.79667913914
43777,no,0.496987015009,1.59554374218
45271,no,0.143350377679,1.0569293499
45738,no,0.428117752075,1.50346517563
41972,yes,0.722678184509,2.60349655151
39870,no,0.191400513053,1.15991187096
42889,yes,0.684967756271,2.93614840508
42115,yes,0.547065198421,2.57764029503
44750,yes,0.555231750011,2.04511165619
40611,yes,0.682997405529,2.7559273243
40012,no,0.347950816154,1.38659930229
42914,yes,0.684967756271,2.93614840508
41172,yes,0.509728729725,1.79667913914
41039,yes,0.722678184509,2.60349655151
43324,yes,0.509728729725,1.79667913914
38930,yes,0.509728729725,1.79667913914
43356,yes,0.509728729725,1.79667913914
39583,no,0.387807428837,1.85092234612
46521,no,0.297952741385,2.0386800766
42051,yes,0.547065198421,2.57764029503
39739,no,0.299820482731,1.23705744743
42942,yes,0.684967756271,2.93614840508
41334,yes,0.722678184509,2.60349655151
42939,yes,0.684967756271,2.93614840508
42909,yes,0.684967756271,2.93614840508
45698,no,0.428117752075,1.50346517563
40125,no,0.0601926669478,0.983657419682
37492,yes,0.722678184509,2.60349655151
43352,yes,0.509728729725,1.79667913914
43348,yes,0.509728729725,1.79667913914
45132,no,0.43787035346,1.06429302692
41327,yes,0.722678184509,2.60349655151
46436,no,0.3374979496,1.14006960392
42002,yes,0.722678184509,2.60349655151
45115,no,0.314665108919,1.93190920353
42966,yes,0.684967756271,2.93614840508
40604,yes,0.523461401463,3.05459332466
39419,yes,0.509728729725,1.79667913914
44747,yes,0.615351378918,2.0151014328
41033,yes,0.722678184509,2.60349655151
44853,no,0.458071291447,2.02316999435
42903,yes,0.684967756271,2.93614840508
38925,yes,0.509728729725,1.79667913914
38904,yes,0.509728729725,1.79667913914
41974,yes,0.722678184509,2.60349655151
42129,yes,0.547065198421,2.57764029503
45543,no,0.0561162307858,1.01463794708
43577,yes,0.722635388374,2.58054113388
44122,no,0.311858594418,1.44811892509
42993,yes,0.684967756271,2.93614840508
42895,yes,0.684967756271,2.93614840508
40721,yes,0.547065198421,2.57764029503
45239,no,0.391652911901,1.4165995121
42106,yes,0.547065198421,2.57764029503
45931,yes,0.804986536503,2.45783138275
42946,yes,0.684967756271,2.93614840508
45768,no,0.21251784265,1.19060385227
44565,yes,0.647307574749,2.67335224152
45268,no,0.392585784197,1.56791496277
38916,yes,0.509728729725,1.79667913914
39868,no,0.151394799352,1.18816828728
47054,no,0.281386762857,1.05308556557
43001,yes,0.684967756271,2.93614840508
42085,yes,0.547065198421,2.57764029503
